ACCOUNT_NO,PARCELNUMBER,DOC_OCCURENCE,ACTUAL_YEAR_BLT,ABSTRACT_CODE,ABSTRACT_DESC,BUILDING_CODE,BUILDING_DESC,BEDROOMS,BATHROOMS,NUMBER_STORIES,IMPSQFT,UNITS,MODEL,ARCH_STYLE_DESC
"R007111","590511402006",0,1981,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",4,4.25,1,3833,0,"SFR","RANCH"
"R007112","566517325002",0,1948,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,1,1,990,0,"SFR","CONVENTION"
"R007116","566504100015",0,1954,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,1.75,1,2016,0,"SFR","CONVENTION"
"R007149","595316100130",0,1991,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,1,1,1962,0,"SFR","CONVENTION"
"R007170","566516313001",0,1962,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,1.5,1,1128,0,"SFR","RANCH"
"R007172","566520231014",0,1953,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1.75,1,1166,,"SFR","CONVENTION"
"R007175","567502420033",0,1979,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,2,1,1219,0,"SFR","CONVENTION"
"R007176","567311300097",0,1924,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,1.5,1483,0,"SFR","CONVENTION"
"R007180","566516321011",0,1966,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",4,1.75,1,2375,0,"SFR","BI LEVEL"
"R007181","567716100014",0,1964,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1,1,884,,"SFR","CONVENTION"
"R007184","568110300084",0,1976,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",0,0,1,584,0,"SFR","LOG HOME"
"R007186","566516211010",0,1977,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",4,2,2,2160,0,"SFR","BI LEVEL"
